<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAH,20260811,1.9,1.9,1.8,1.8,200000
AAS,20260811,7.4,7.5,7.3,7.4,445500
AAV,20260811,6.4,6.4,6.2,6.2,173500
ABB,20260811,17,17,16.7,16.8,289300
ABC,20260811,10.2,10.2,10.2,10.2,5100
ABI,20260811,18.8,18.8,18.7,18.7,8300
ABW,20260811,14,14.2,14,14.1,69700
ACE,20260811,36.9,36.9,35.2,35.2,2400
ACV,20260811,42.3,42.8,41,41.4,607100
AG1,20260811,11.5,11.7,11.5,11.7,2900
AGP,20260811,31,31.2,30,30,10500
AIG,20260811,46,48,46,47,54900
ALC,20260811,21.6,21.8,21.3,21.3,5700
ALV,20260811,7,7,7,7,100
AMP,20260811,15,15,15,15,5500
AMS,20260811,7.1,7.2,7.1,7.1,14600
ANI,20260811,40.9,40.9,40.9,40.9,100
APC,20260811,6.3,6.3,6.3,6.3,4900
APF,20260811,45.2,45.3,45.2,45.2,10800
APP,20260811,4.2,4.2,4.1,4.2,1500
AVC,20260811,40,40,40,40,500
AVG,20260811,8.7,8.8,8.4,8.7,34200
BBT,20260811,12.5,12.5,12.5,12.5,500
BCA,20260811,19.6,19.6,19.6,19.6,200
BDG,20260811,27.4,27.6,27.4,27.6,2400
BDT,20260811,9.1,9.4,8.6,9.4,25300
BIG,20260811,5.3,5.3,4.9,5.1,655100
BIO,20260811,14,14,12.4,12.4,700
BLF,20260811,2.7,2.7,2.7,2.7,100
BLI,20260811,7.9,7.9,7.9,7.9,200
BMJ,20260811,13.4,13.5,11.4,11.4,2100
BMK,20260811,10.9,11.1,10.9,11.1,2800
BMS,20260811,13.2,13.3,13.1,13.1,83700
BQB,20260811,3.8,3.8,3.8,3.8,100
BQP,20260811,15,15,15,15,100
BRR,20260811,17.6,17.6,17,17.6,2200
BRS,20260811,21.5,22,21.4,22,4000
BSL,20260811,13,13,12.6,12.6,3800
BTH,20260811,20.4,20.9,20.3,20.9,1800
BTN,20260811,2.5,2.5,2.5,2.5,3500
BVL,20260811,13.6,14.5,13.6,13.9,2500
BWS,20260811,32.7,32.7,32.7,32.7,300
C4G,20260811,5.6,5.7,5.5,5.6,314800
CAT,20260811,14.3,14.3,13.8,14.2,5900
CBS,20260811,23,23,23,23,200
CC1,20260811,38,38,38,38,900
CCA,20260811,12.5,12.5,12.5,12.5,1000
CCS,20260811,6.3,7.9,6.3,7.8,20500
CDR,20260811,4.6,4.7,4.6,4.6,1500
CIP,20260811,1.6,1.6,1.6,1.6,2100
CKA,20260811,68.6,68.6,68.5,68.6,7300
CKD,20260811,20,20,20,20,100
CLI,20260811,27.4,27.8,27.2,27.4,115500
CLX,20260811,13.3,13.3,13.2,13.3,31600
CMD,20260811,18,18,17.9,17.9,2000
CMF,20260811,359,359,331.1,331.1,900
CMN,20260811,17.7,18,17.4,17.8,19100
CNC,20260811,29,29,28.9,29,2000
CNT,20260811,5.2,5.3,5.2,5.3,1300
CQN,20260811,30,30.2,29.9,30.2,45200
CQT,20260811,6.2,7.2,6.2,7.2,300
CTX,20260811,5.1,5.3,5.1,5.2,1900
CVN,20260811,1.4,1.4,1.3,1.4,796000
DBM,20260811,27,27,26.9,26.9,1000
DC1,20260811,5.9,5.9,5.9,5.9,100
DDB,20260811,9.4,9.4,8.9,8.9,17000
DDG,20260811,1.1,1.3,1.1,1.1,2080700
DDN,20260811,8.2,8.2,7.9,7.9,3400
DDV,20260811,18.8,19,18.7,18.8,228200
DFC,20260811,29,29,29,29,100
DGT,20260811,3.5,3.7,3.5,3.7,16300
DHB,20260811,12.4,12.4,11.5,11.5,216500
DHD,20260811,27.5,27.5,27.5,27.5,100
DHN,20260811,16.9,16.9,16.9,16.9,1200
DID,20260811,3.4,3.6,3.4,3.6,4500
DMN,20260811,7.6,8.6,7.6,8.6,1100
DNA,20260811,23.5,23.5,23.5,23.5,200
DNM,20260811,5.2,5.2,5.2,5.2,100
DP1,20260811,30.2,30.2,29.9,30,2200
DPC,20260811,5.6,7.2,5.6,7.2,3300
DRI,20260811,13.2,13.3,13.1,13.1,463400
DSH,20260811,12.9,12.9,12.6,12.6,51000
DTI,20260811,1.8,1.8,1.8,1.8,9600
DTP,20260811,67,67,65,65,2000
DVN,20260811,18.9,18.9,18.7,18.7,37200
EFI,20260811,2.4,3.2,2.4,3.2,2200
EIC,20260811,18.9,18.9,18.9,18.9,500
EIN,20260811,1.7,1.7,1.7,1.7,20300
EMS,20260811,19.3,19.3,19.3,19.3,100
F88,20260811,65.8,67,65.8,66.5,203500
FCS,20260811,6.8,6.8,6.8,6.8,100
FIC,20260811,15.5,15.5,15,15,2100
FOC,20260811,62.9,63.6,62.5,63.5,55800
FOX,20260811,66,67,65.5,66.2,59700
FT1,20260811,44.4,45.8,44.1,44.1,1600
G36,20260811,9,9,8.8,8.9,15300
GCB,20260811,5.8,5.8,5.8,5.8,100
GCF,20260811,18.9,19.2,18.9,18.9,15400
GDA,20260811,12.5,12.5,12.1,12.5,19800
GMC,20260811,4.4,4.4,4.4,4.4,900
GPC,20260811,2,2,2,2,100
GSM,20260811,26.7,26.7,23.7,23.7,600
GVT,20260811,73.8,73.8,73.8,73.8,500
H11,20260811,12.5,12.5,12.5,12.5,100
HAC,20260811,8.6,8.6,8.6,8.6,1600
HAF,20260811,12,12,12,12,100
HAN,20260811,8,8,7.5,7.5,800
HBC,20260811,4.3,4.3,4.1,4.3,391400
HC3,20260811,25,25,25,25,2900
HD2,20260811,10,10,10,10,100
HD6,20260811,8,8,8,8,2700
HDM,20260811,32.4,32.4,32.3,32.4,500
HEP,20260811,11,11.3,11,11.3,10300
HFB,20260811,9.5,9.5,9.5,9.5,200
HHG,20260811,0.8,0.8,0.7,0.8,30800
HIO,20260811,7.3,7.7,7.2,7.7,5000
HMS,20260811,30.2,30.2,29.5,29.5,7700
HND,20260811,9.6,9.8,9.5,9.8,2100
HNG,20260811,6.7,6.7,6.5,6.7,820400
HNM,20260811,8.1,8.1,8,8.1,200800
HPD,20260811,16.2,16.3,16.2,16.3,3600
HPH,20260811,16,16,16,16,1000
HPP,20260811,65.1,65.1,65.1,65.1,200
HSM,20260811,6.7,6.7,6.7,6.7,100
HSV,20260811,4,4,4,4,100
