<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AMV,20260811,1.3,1.4,1.2,1.3,471700
API,20260811,5.7,5.9,5.7,5.7,99900
APS,20260811,6.4,6.5,6.3,6.4,140300
BAB,20260811,10.7,10.8,10.7,10.7,3700
BCC,20260811,6.1,6.1,6,6,42100
BKC,20260811,13.7,13.9,13.7,13.8,5500
BTS,20260811,4.9,5,4.9,5,3200
BTW,20260811,63,63,63,63,3300
BVS,20260811,28,28.4,27.1,27.2,1166800
C69,20260811,16.3,17.7,16.1,17.5,351300
CAG,20260811,5.7,5.7,5.7,5.7,1100
CAP,20260811,44,44.3,43.3,43.9,24700
CCR,20260811,14.2,14.2,14.2,14.2,5300
CDN,20260811,26,26,25.4,25.4,600
CEO,20260811,12.2,12.4,12.2,12.2,5320800
CIA,20260811,9.7,9.7,9.3,9.3,7500
CLH,20260811,20.7,20.7,20.6,20.6,2800
CLM,20260811,57,57,57,57,500
CMS,20260811,6.2,6.3,6.2,6.3,16800
CPC,20260811,15.5,15.7,15.5,15.7,300
CSC,20260811,10.6,10.7,10.3,10.5,11500
CST,20260811,10.2,10.2,10.1,10.1,7200
CTB,20260811,16.1,16.1,16.1,16.1,400
CTP,20260811,7.1,7.3,6.8,7.3,92700
DC2,20260811,5.7,5.7,5.7,5.7,1000
DHT,20260811,58,58,56.2,56.7,10200
DIH,20260811,7.4,7.4,7.4,7.4,2400
DL1,20260811,4.5,4.6,4.5,4.5,76300
DP3,20260811,60.6,60.7,60.6,60.7,1600
DST,20260811,8.7,9.3,8.7,9.2,152400
DTD,20260811,11.9,12.3,11.9,12,85100
DTG,20260811,15.2,15.2,15.2,15.2,100
DTK,20260811,11.6,11.6,11.3,11.4,1000
DVM,20260811,5.3,5.3,5.1,5.3,62300
DXP,20260811,14.6,14.7,14.3,14.3,207700
EBS,20260811,10.4,10.4,10.4,10.4,400
EID,20260811,19,19,19,19,11100
EVS,20260811,5.7,5.8,5.6,5.8,279100
GDW,20260811,27.1,27.1,27.1,27.1,800
GIC,20260811,11.9,11.9,11.4,11.8,2200
GMX,20260811,17,17,15.5,15.5,10000
HAT,20260811,29.7,32.6,29.7,31.7,8600
HCC,20260811,28.1,28.1,27.9,28,34800
HDA,20260811,6.5,6.5,6.5,6.5,44400
HGM,20260811,136.5,136.5,131.5,132,6100
HHC,20260811,78,85,76,85,23900
HJS,20260811,28.4,30,28.4,30,600
HKT,20260811,13.7,13.8,13,13.8,16500
HLD,20260811,13.4,14,12.6,14,248200
HMH,20260811,18,20,18,20,300
HMR,20260811,9.7,9.7,9.7,9.7,2300
HOM,20260811,3.9,3.9,3.9,3.9,1300
HUT,20260811,13.5,13.9,13.5,13.7,714700
HVT,20260811,23.5,23.6,23.5,23.5,4800
ICG,20260811,15.5,15.5,15.3,15.3,6600
IDC,20260811,34.6,35.2,34.1,34.1,1161100
IDJ,20260811,3.8,3.8,3.7,3.8,178200
IDV,20260811,20.2,20.4,20,20.4,15000
INN,20260811,36,36.1,36,36.1,3400
IPA,20260811,15.6,15.7,15.4,15.5,48000
ITQ,20260811,2.6,2.7,2.5,2.7,44600
IVS,20260811,6.6,6.6,6.4,6.5,17000
KDM,20260811,20.3,20.3,19.1,20,3800
KHS,20260811,13.1,13.2,13.1,13.2,4100
KSD,20260811,5.8,5.9,5.8,5.9,1300
KSF,20260811,81,81.9,80.3,80.3,139900
KSV,20260811,119.4,123.9,119,122.7,44800
L14,20260811,23,23.8,22.5,23.8,507300
L18,20260811,14,15.5,13.8,15.3,12400
L40,20260811,22.9,23,22.4,22.9,156600
LAS,20260811,12.5,12.8,12.3,12.4,269900
LBE,20260811,14,14.2,13.9,14.1,34800
LDP,20260811,7.9,7.9,7.9,7.9,95400
LHC,20260811,46,46.7,45.7,45.7,3200
LIG,20260811,3.2,3.4,3.2,3.4,76400
MAC,20260811,11.5,12.4,11.5,12.4,700
MAS,20260811,34,34,34,34,400
MBG,20260811,2.3,2.4,2.3,2.3,69200
MBS,20260811,19,19.4,18.7,18.8,6774800
MCO,20260811,4.8,4.9,4.6,4.7,4200
MDC,20260811,8.5,8.5,8.5,8.5,500
MEL,20260811,6,6,6,6,1000
MIC,20260811,10,10,10,10,1400
MST,20260811,10.4,10.5,10.3,10.5,835100
NAG,20260811,7.1,7.2,7,7.2,45000
NBC,20260811,7.5,7.6,7.5,7.6,20900
NBP,20260811,7.2,7.2,7.2,7.2,100
NDN,20260811,9.2,9.2,9,9.1,264000
NDX,20260811,5.5,5.5,5.5,5.5,1000
NET,20260811,60,60,60,60,200
NRC,20260811,4.7,4.9,4.7,4.8,1480300
NSH,20260811,4.3,4.3,4.3,4.3,20800
NST,20260811,12.3,12.3,12.3,12.3,1500
NTH,20260811,53,53,53,53,200
NTP,20260811,49,49.5,48,48.2,157000
NVB,20260811,11.3,11.3,11.1,11.2,489900
OCH,20260811,6.3,6.4,6.3,6.3,48500
ONE,20260811,11.1,11.1,9.9,11,1300
PBP,20260811,11,11.3,11,11.3,5300
PCE,20260811,19.5,19.5,19.5,19.5,4600
PCH,20260811,18.3,18.3,18,18.1,76300
PDB,20260811,23,23.5,22.8,22.8,4400
PGN,20260811,5.5,5.7,5.2,5.5,19600
PGS,20260811,60.4,62,60,60,300
PIC,20260811,13,13.7,13,13.7,200
PLC,20260811,20.6,20.7,20.1,20.2,106700
PMB,20260811,10.5,10.5,10.5,10.5,4300
PMC,20260811,119,120.1,119,119,1800
PPP,20260811,18.4,18.4,18.4,18.4,100
PPT,20260811,15.1,15.2,14.9,15.1,296300
PPY,20260811,6.9,7,6.9,7,10000
PRE,20260811,29.1,29.7,27.6,29.5,600
PSD,20260811,12.8,13.2,12.4,12.6,296200
PSI,20260811,9.6,9.9,9.6,9.8,290200
PSW,20260811,7.9,8,7.9,8,21300
PTI,20260811,19,19,18.4,18.4,1100
PTS,20260811,9.9,9.9,9.8,9.9,1200
PTX,20260811,18.9,18.9,18.9,18.9,100
PV2,20260811,1.9,1.9,1.9,1.9,1100
PVB,20260811,21.5,21.6,21.2,21.3,83100
PVC,20260811,12.4,12.4,12.1,12.2,401300
PVG,20260811,5.8,5.8,5.6,5.6,23200
PVI,20260811,68.4,69,68.4,68.8,15900
PVS,20260811,35.2,35.6,35,35,2228700
QST,20260811,27.9,27.9,25,27.9,400
RCL,20260811,10.8,11.3,10.8,11.2,8400
S99,20260811,7.8,8,7.8,8,17700
SAF,20260811,56.5,56.5,56.5,56.5,5400
SCG,20260811,65.1,65.2,64.9,65.2,27000
SCI,20260811,10.8,10.8,10.5,10.6,23900
SD5,20260811,7,7,6.9,7,49600
SEB,20260811,43,43,43,43,600
SED,20260811,15.4,15.4,15.1,15.1,600
SFN,20260811,20.8,20.8,20.8,20.8,100
SHE,20260811,7.4,7.4,7.4,7.4,100
SHN,20260811,8.1,8.1,7.6,7.7,268600
SHS,20260811,16,16.3,15.9,15.9,12823600
SJE,20260811,13.2,13.6,12.5,12.8,104900
SLS,20260811,129,134.8,127.6,134.8,8100
SMN,20260811,6.7,6.7,6.7,6.7,100
SPC,20260811,10.3,10.3,10.3,10.3,1000
SVN,20260811,2.9,3,2.9,3,421600
SZB,20260811,39.8,39.8,39.8,39.8,100
TA9,20260811,10.1,10.2,10.1,10.2,3300
TD6,20260811,6,6,5.9,6,24000
TDT,20260811,6.9,7,6.8,7,60600
TET,20260811,50,50,50,50,1600
THD,20260811,147,154.7,144.9,154.7,17300
THT,20260811,7.4,7.4,7.3,7.3,5800
TIG,20260811,5.8,5.9,5.8,5.9,478800
TJC,20260811,9.7,9.7,9.5,9.5,900
TKU,20260811,12,12,12,12,2000
TMC,20260811,7,7,7,7,3000
TNG,20260811,17,17.4,17,17.3,169500
TOT,20260811,14.2,14.2,14.2,14.2,100
TSB,20260811,21.9,22.8,21.3,21.3,10600
TTC,20260811,9.3,9.3,9.3,9.3,100
TTH,20260811,2,2.1,2,2,59900
TTL,20260811,7.2,7.2,7.2,7.2,1000
TTT,20260811,31.5,31.5,31.5,31.5,2700
TV3,20260811,15.8,15.8,15.7,15.7,1700
TV4,20260811,13.1,13.1,13.1,13.1,200
TVC,20260811,8,8.2,7.9,8.2,19600
TVD,20260811,8.8,8.9,8.7,8.9,20000
TXM,20260811,3.8,4.1,3.8,4.1,1600
UNI,20260811,6.1,6.6,6.1,6.6,400
VC1,20260811,13.9,13.9,13.9,13.9,100
VC2,20260811,3.9,3.9,3.8,3.8,13000
VC3,20260811,25.9,25.9,25.6,25.7,867900
VC7,20260811,7.3,7.4,7.2,7.2,55900
VC9,20260811,4.4,4.4,4.4,4.4,13600
VCC,20260811,9.6,9.8,9.6,9.8,5400
VCM,20260811,5.9,5.9,5.9,5.9,100
VCS,20260811,33.5,33.6,30.3,33.6,17400
VFS,20260811,10.3,10.3,10,10.2,912900
VGP,20260811,27.5,27.5,27.1,27.5,25600
VGS,20260811,18.2,18.3,18.1,18.1,128900
VHE,20260811,3,3,2.9,3,63300
VIF,20260811,15,15.3,15,15.3,7600
VIG,20260811,4.1,4.2,4.1,4.2,36800
VIT,20260811,23.6,23.6,23.5,23.5,21600
VLA,20260811,9.8,9.8,9.8,9.8,100
VMC,20260811,3.7,3.9,3.7,3.9,21800
VMS,20260811,40,40,40,40,200
VNC,20260811,36,36,36,36,1100
VNF,20260811,12.8,12.8,12.8,12.8,100
VNR,20260811,18.2,18.5,18.2,18.5,29000
VSA,20260811,18.2,18.3,18.1,18.1,1400
VTC,20260811,10,10,9.9,9.9,400
VTJ,20260811,4.1,4.1,4.1,4.1,100
VTV,20260811,13.7,14.5,13.7,14.5,104700
VTZ,20260811,20.4,20.4,20.3,20.3,964700
WCS,20260811,301,301,301,301,100
WSS,20260811,6.1,6.1,6,6,25600
X20,20260811,12,12.1,11.8,11.8,1300
