<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAH,20260812,1.9,1.9,1.8,1.9,112000
AAS,20260812,7.5,7.5,7.3,7.4,131300
AAV,20260812,6.2,6.3,6.1,6.1,79100
ABB,20260812,16.7,17,16.6,16.9,974600
ABC,20260812,10.1,10.1,10.1,10.1,3100
ABI,20260812,18.8,18.8,18.8,18.8,46400
ABW,20260812,14.2,14.3,14,14.1,74600
ACE,20260812,36.3,36.6,36.3,36.6,6100
ACV,20260812,41.4,41.6,40.9,41.4,460300
AG1,20260812,11.8,11.8,11.8,11.8,100
AGP,20260812,30.4,30.6,30.3,30.3,5000
AIC,20260812,8.5,8.5,8.5,8.5,600
AIG,20260812,47.2,50,47.2,48.6,194700
ALC,20260812,21.4,21.4,21.2,21.2,6100
ALV,20260812,6.9,7,6.8,6.9,5000
AMP,20260812,15.2,15.2,15.2,15.2,6200
AMS,20260812,7.1,7.1,7,7,15000
APC,20260812,5.8,6.3,5.6,6.3,1700
APF,20260812,45.4,45.4,45.1,45.3,18700
APP,20260812,4.1,4.2,4,4.2,5700
AVC,20260812,40.1,40.1,40.1,40.1,500
AVG,20260812,8.6,8.6,8.4,8.5,7500
BBT,20260812,12.6,13,12.6,13,1100
BCA,20260812,19.6,20,18.5,20,2000
BCP,20260812,10.1,10.1,10.1,10.1,100
BDG,20260812,27.6,27.6,27.6,27.6,400
BEL,20260812,33,33,21,21,200
BHA,20260812,21.5,21.5,21.5,21.5,200
BIG,20260812,5.2,5.3,5,5.1,218500
BIO,20260812,13,13,13,13,100
BLF,20260812,2.7,2.7,2.7,2.7,100
BLT,20260812,18.5,18.5,18.5,18.5,200
BMF,20260812,7.8,7.8,7.8,7.8,100
BMJ,20260812,13.4,13.5,13.4,13.5,200
BMK,20260812,11.5,11.5,11,11,700
BMS,20260812,13.2,13.2,13,13.1,88200
BRR,20260812,18,18,18,18,100
BRS,20260812,21.5,21.5,21.5,21.5,100
