<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BSA,20260812,19.9,19.9,19.9,19.9,1500
BSH,20260812,16.7,16.7,16.7,16.7,200
BSL,20260812,12.8,12.8,12.7,12.7,600
BTH,20260812,20.8,20.8,20.7,20.7,300
BTN,20260812,2.3,2.6,2.3,2.6,2100
BWS,20260812,32.9,33,32.9,33,700
C4G,20260812,5.6,5.8,5.6,5.8,521400
C92,20260812,3.6,3.6,3.6,3.6,100
CAT,20260812,14,14,13.9,13.9,15900
CBS,20260812,24.9,24.9,23.7,24.8,26600
CC1,20260812,38,38,38,38,200
CCA,20260812,12.8,12.8,12.8,12.8,700
CCS,20260812,8.3,8.3,7.2,7.2,300
CDR,20260812,4.4,4.5,4.4,4.5,300
CGV,20260812,3,3.1,2.9,3.1,1700
CID,20260812,8.5,8.5,8.5,8.5,200
CIP,20260812,1.7,1.7,1.7,1.7,100
CKA,20260812,68.8,68.9,68.6,68.9,3600
CKD,20260812,20,20,20,20,900
CLI,20260812,27.5,27.9,27.5,27.6,102500
CLX,20260812,13.3,13.3,13.3,13.3,6300
CMD,20260812,17.9,17.9,17.9,17.9,3300
CMF,20260812,345,345,345,345,100
CMN,20260812,17.4,17.5,17.1,17.5,10400
CNC,20260812,28.5,29,28.5,28.5,3000
CNN,20260812,55,55,55,55,3100
CNT,20260812,5.3,5.3,5.3,5.3,200
CQN,20260812,30.1,30.3,30.1,30.3,55200
CSI,20260812,15.5,15.5,15.5,15.5,81000
CTW,20260812,23.9,23.9,23.9,23.9,100
CTX,20260812,5.2,5.2,5,5.2,4800
CVN,20260812,1.4,1.4,1.2,1.4,380800
DC1,20260812,5.7,5.8,5.7,5.8,500
DCV,20260812,125,125,125,125,100
DDB,20260812,9.2,9.2,8.8,8.8,16100
DDG,20260812,1,1.1,1,1,1088400
DDN,20260812,8,8,8,8,100
DDV,20260812,18.7,18.9,18.7,18.8,152100
DFC,20260812,28.8,28.8,28.8,28.8,300
DGT,20260812,3.7,3.7,3.7,3.7,30300
DHB,20260812,11.7,11.9,11.3,11.6,74600
DHN,20260812,19.4,19.4,19.4,19.4,100
DID,20260812,3.5,3.5,3.3,3.5,3800
DMN,20260812,8.6,8.6,7.7,7.7,200
DND,20260812,6.3,6.3,6.3,6.3,2500
DNE,20260812,8.3,8.3,8.1,8.1,700
DNM,20260812,5.2,5.2,5.2,5.2,1000
DOP,20260812,13.6,13.6,13.6,13.6,200
DPC,20260812,5.8,7.7,5.8,7.7,1200
DRI,20260812,13.3,13.7,13.3,13.7,1011600
DSD,20260812,17.9,17.9,17.9,17.9,100
DSH,20260812,12.7,12.8,12.7,12.7,120600
DTI,20260812,1.9,1.9,1.9,1.9,100
DTP,20260812,64.6,65,59.9,60,52900
DVN,20260812,18.8,18.8,18.7,18.7,17900
EFI,20260812,2.7,2.7,2.5,2.6,22600
EIN,20260812,1.7,1.8,1.7,1.8,1300
F88,20260812,66.6,67.5,66.3,67.2,167000
FIC,20260812,15.3,15.3,15,15.1,900
FOC,20260812,63.4,64.3,63.2,63.5,30900
FOX,20260812,66.2,66.9,65.9,66,36100
FRM,20260812,9.8,9.8,9.8,9.8,200
FT1,20260812,43.1,44.8,43,44,3500
G36,20260812,8.9,9.3,8.9,9.2,68200
GCB,20260812,6.6,6.6,6.6,6.6,100
GCF,20260812,18.5,19.3,18.5,19.3,27400
GDA,20260812,12.5,12.5,12.4,12.5,20200
GDH,20260812,7.3,8,7.3,8,1300
GMC,20260812,4.4,4.4,4.4,4.4,300
GPC,20260812,2,2,2,2,10700
GSM,20260812,24.9,24.9,24.9,24.9,100
GVT,20260812,80.8,80.8,80.8,80.8,100
HAF,20260812,13.8,13.8,13.7,13.7,200
HAM,20260812,44,44,44,44,400
HAN,20260812,8.7,8.7,8.7,8.7,100
HBC,20260812,4.3,4.3,4.1,4.2,407600
HD6,20260812,8,8,8,8,200
HDM,20260812,33.3,33.3,32,32.2,2900
HDP,20260812,26,26,26,26,1000
HEP,20260812,11.4,11.4,11.4,11.4,100
HHG,20260812,0.8,0.8,0.7,0.8,25800
HMS,20260812,30,30,29.6,30,1000
HND,20260812,9.8,9.8,9.5,9.5,5100
HNF,20260812,22.8,22.9,22.8,22.9,700
HNG,20260812,6.7,6.7,6.5,6.6,831500
HNM,20260812,8.1,8.2,8.1,8.2,272800
HPD,20260812,16.3,16.3,16.3,16.3,3200
HPH,20260812,15,16,15,16,1900
HPP,20260812,65,65,65,65,600
HSV,20260812,4,4,4,4,600
HTE,20260812,2.7,2.7,2.7,2.7,1800
HTM,20260812,8.4,9.3,8.4,8.6,8300
HU3,20260812,3,3,2.8,3,60600
HU4,20260812,9.3,9.3,9.3,9.3,5000
HVX,20260812,2.4,2.4,2.3,2.4,6300
HWS,20260812,14.6,14.8,14.5,14.7,3500
ICF,20260812,2.1,2.1,1.9,2.1,1200
ICN,20260812,26,26,25.9,25.9,700
IFS,20260812,17,17,17,17,200
ILA,20260812,6.9,7.1,6.9,7,33600
ILS,20260812,19.5,19.5,19.3,19.3,18600
ISH,20260812,24.5,24.5,23.1,23.1,200
IST,20260812,33.6,33.6,33.6,33.6,1000
KCB,20260812,10,10.1,9.9,10.1,5000
KGM,20260812,5.3,5.3,5.3,5.3,400
KHW,20260812,26.8,26.8,26.8,26.8,10800
KIP,20260812,15,15,15,15,900
KVC,20260812,1.2,1.2,1.1,1.1,230300
L12,20260812,4.6,4.7,4.6,4.7,2000
L35,20260812,3,3,3,3,100
L43,20260812,1.7,1.7,1.7,1.7,300
LAI,20260812,8,8.1,8,8.1,4800
LAW,20260812,23,23,22.6,22.6,200
LIC,20260812,28.7,34.8,28.7,34,24200
LKW,20260812,30.5,31,30.5,31,400
LLM,20260812,40,41,37.7,39.9,28400
LMC,20260812,5.1,5.1,5.1,5.1,100
LPT,20260812,7.8,7.8,7.8,7.8,1700
LSG,20260812,34.9,34.9,34.6,34.7,6300
M10,20260812,20.3,20.7,20,20,1400
MCG,20260812,2.5,2.5,2.5,2.5,2000
MDF,20260812,5,5,5,5,5000
MFS,20260812,32,32,30.8,30.8,3000
MGC,20260812,9.7,10.5,9.1,10.5,2300
MH3,20260812,26,27.5,26,27.5,200
MLS,20260812,15.5,15.5,15.3,15.5,400
MML,20260812,28.6,28.6,27.9,28.1,7500
MNB,20260812,24,24,24,24,2000
MPC,20260812,14.7,15,14.6,14.8,13700
MPY,20260812,14.6,14.6,14.6,14.6,2000
MQN,20260812,17.5,17.5,17.5,17.5,500
MSR,20260812,39.4,39.6,38.5,38.7,868500
MTA,20260812,10.6,10.6,10.5,10.5,2100
MVC,20260812,12.7,13.1,12.6,13,47300
MVN,20260812,60.2,61.5,58.5,59,42900
NAS,20260812,30,30,30,30,600
NBE,20260812,8.3,8.3,8.3,8.3,1500
NCG,20260812,10.7,11.2,10.7,11.2,1000
ND2,20260812,36.8,36.8,36.8,36.8,200
NDT,20260812,4.7,4.7,4.7,4.7,2000
NED,20260812,5.5,5.6,5.5,5.5,19900
NHD,20260812,62,62,62,62,200
NUE,20260812,10.7,10.7,10.7,10.7,100
NWT,20260812,3.8,3.8,3.8,3.8,3700
NXT,20260812,3.7,3.7,3.5,3.5,2200
ODE,20260812,47,47.2,46.9,47.2,15200
OIL,20260812,13.4,13.6,13.3,13.3,1157800
PAP,20260812,28,28,28,28,200
PAS,20260812,2.4,2.4,2.3,2.4,727800
PAT,20260812,65.9,65.9,65,65.1,5700
PBC,20260812,5.4,5.5,5.3,5.5,7300
PBT,20260812,13,13,13,13,200
PCB,20260812,13,14,10.1,11.5,1406700
PCC,20260812,23.1,26.6,23.1,26.6,2800
PEQ,20260812,42.1,42.1,42.1,42.1,700
PFL,20260812,1.6,1.7,1.6,1.6,67500
PGB,20260812,9.8,9.9,9.6,9.9,20300
PHP,20260812,42.4,42.8,42.2,42.4,131300
PIS,20260812,9,9,9,9,1000
PIV,20260812,6.5,6.5,6.4,6.4,98900
PMJ,20260812,19.9,19.9,19.9,19.9,100
POS,20260812,14.2,14.6,14.2,14.3,1300
PPH,20260812,26.2,26.2,26,26.2,5300
PRT,20260812,10,10,9.5,10,1000
PSB,20260812,5.8,5.8,5.1,5.1,28900
PSL,20260812,5.8,5.8,5.8,5.8,9000
PSP,20260812,16.4,18.8,16.3,18.8,2000
PTV,20260812,4.7,4.7,4.7,4.7,1800
PVM,20260812,18.9,18.9,18.9,18.9,1000
PVO,20260812,5.7,5.8,5.7,5.8,1300
PXL,20260812,11.5,11.9,11.5,11.5,25600
QNS,20260812,46.8,47.2,46.7,46.9,104900
QSP,20260812,22.6,22.6,22.6,22.6,200
QTP,20260812,11.3,11.4,11.1,11.2,582900
RBC,20260812,6.7,6.7,6.7,6.7,100
RGG,20260812,45.7,45.7,45.7,45.7,100
RIC,20260812,6.6,6.6,6.6,6.6,6000
RTB,20260812,23.7,23.7,23.7,23.7,200
SAC,20260812,13,13.7,12.9,13.3,7500
SAS,20260812,33.3,33.3,33,33,9700
SBB,20260812,20.1,20.1,19.4,19.4,6900
SBD,20260812,7.3,7.3,7.2,7.2,300
SBH,20260812,38.5,38.5,38.5,38.5,3100
SBL,20260812,7.2,7.8,6.9,7.6,15600
SBS,20260812,4.7,4.7,4.6,4.7,211100
SCL,20260812,23.6,23.8,23.5,23.6,31300
SD3,20260812,8.6,8.7,8.6,8.7,2700
SDA,20260812,1.8,1.9,1.8,1.9,43000
SDK,20260812,13,13,13,13,11100
SDT,20260812,4,4.1,3.9,4,74000
SDV,20260812,35,35,35,35,100
SEA,20260812,65.6,65.6,65,65.6,83100
SGB,20260812,12.1,12.5,12.1,12.4,9300
SGI,20260812,8.8,9,8.8,9,2300
SGP,20260812,21.1,21.3,20.8,20.9,19000
SGS,20260812,13.6,14.5,13.5,14.5,48700
SID,20260812,12.4,12.4,12.4,12.4,100
SIV,20260812,40,40,40,40,500
SKH,20260812,20,20,20,20,100
SNZ,20260812,24.6,24.6,24.6,24.6,500
STD,20260812,6.5,6.5,6,6.2,1100
SVG,20260812,5.6,5.6,5.6,5.6,200
SWC,20260812,24,24.2,24,24,7700
SZE,20260812,7.8,7.8,7.7,7.7,1600
SZG,20260812,33,33,33,33,100
TAH,20260812,22.8,23.1,22.8,23,39600
TBR,20260812,6.5,6.5,6.5,6.5,100
TCW,20260812,29,29.3,29,29.3,1600
TDF,20260812,7.2,7.5,7.2,7.5,700
TDS,20260812,8.1,8.1,8.1,8.1,600
TED,20260812,65,65,64.5,65,1800
TGP,20260812,6,6,6,6,9700
TH1,20260812,7,7,6.4,6.5,7000
TID,20260812,20.9,20.9,20.9,20.9,300
TIN,20260812,105,113,105,113,38800
TIS,20260812,4.3,4.3,4.3,4.3,11600
TLP,20260812,6.8,7,6.2,6.8,4700
TNW,20260812,13.7,13.7,13.6,13.6,200
TOS,20260812,97.6,100,97.5,99.1,22800
TRV,20260812,10.5,10.5,10.2,10.3,32600
TS3,20260812,5.2,5.2,5.2,5.2,1000
TSD,20260812,3.5,3.5,3.5,3.5,100
TT6,20260812,11.1,11.4,11.1,11.4,9900
TTD,20260812,95,95,95,95,100
TTG,20260812,12.8,13.3,12.8,13.3,4700
TTN,20260812,12.7,12.7,12.5,12.6,10400
TTS,20260812,5.8,6.8,5.8,6.8,500
TUG,20260812,18,18,18,18,100
TV1,20260812,20.2,20.5,20.2,20.3,39500
TVN,20260812,9.1,9.3,9,9.1,360600
UDC,20260812,3,3,2.7,2.9,15200
UDJ,20260812,5.9,6.2,5.9,6.2,26700
ULG,20260812,31.3,31.3,27.2,27.2,3700
USD,20260812,16.7,16.7,16.7,16.7,100
VAF,20260812,19.6,19.6,19.6,19.6,100
VBH,20260812,14,14,14,14,100
VCP,20260812,23.8,23.8,23.3,23.3,8800
VCR,20260812,47.9,47.9,47.9,47.9,100
VDN,20260812,42.1,42.1,42.1,42.1,100
VDT,20260812,10,10,10,10,800
VE9,20260812,2.5,2.5,2.5,2.5,5200
VEA,20260812,35.2,35.3,35,35.2,122200
VEC,20260812,33,33,30,30,8000
VEF,20260812,79.2,79.8,78.6,79.4,8100
VES,20260812,22.9,22.9,22.9,22.9,1000
VGG,20260812,43.7,43.7,43.7,43.7,200
VGI,20260812,87,87.5,85.3,86.9,298800
VGR,20260812,103.9,103.9,95,96,1500
VGT,20260812,11.5,11.5,11.2,11.4,138300
VGV,20260812,40,44.9,40,44.9,8900
VHG,20260812,1.6,1.7,1.6,1.6,199000
VHH,20260812,3.3,3.3,3.1,3.1,600
VIW,20260812,25.3,25.3,24.7,24.9,163100
VLB,20260812,48.3,48.5,48.3,48.4,21500
VLC,20260812,12.6,12.6,12.2,12.4,33000
VLG,20260812,7,7,7,7,1600
VLS,20260812,13.3,13.3,13.2,13.2,1000
VLW,20260812,31,31,31,31,500
VNA,20260812,14,14.3,14,14.3,300
VNB,20260812,13,13.2,13,13.2,2700
VNE,20260812,2.3,2.3,2.1,2.3,733100
VNI,20260812,5.4,5.4,5.4,5.4,600
VNP,20260812,18.8,18.8,17.2,17.6,16000
VNZ,20260812,619.7,619.7,590,590,2200
VPR,20260812,6.6,6.8,6.6,6.8,1100
VRG,20260812,13.3,13.3,13.1,13.1,700
VSE,20260812,7.7,7.7,7.7,7.7,200
VSF,20260812,26.7,27,26.5,26.8,35100
VTD,20260812,5.3,5.4,4.9,5,274700
VTE,20260812,7.5,7.5,7.5,7.5,100
VTK,20260812,39.8,39.8,37.9,38.8,9700
VTQ,20260812,4.8,4.8,4.8,4.8,300
VTR,20260812,10.5,10.5,10.2,10.5,5300
VW3,20260812,9.7,9.7,9.7,9.7,100
VWS,20260812,22,22,22,22,10100
WSB,20260812,52.1,54.9,50.6,54.9,600
XDH,20260812,16.2,16.2,16.2,16.2,3600
XHC,20260812,16,16,16,16,2200
XMC,20260812,10,10,10,10,1600
XPH,20260812,15.7,15.7,14.7,14.7,200
YBC,20260812,8.5,8.5,6.3,8.3,400
