<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AMV,20260813,1.3,1.3,1.2,1.2,1279500
API,20260813,5.7,6,5.7,5.8,257100
APS,20260813,6.4,6.5,6.2,6.3,282500
BAB,20260813,10.8,10.9,10.6,10.6,3100
BCC,20260813,6.1,6.1,5.9,5.9,14700
BCF,20260813,39,39,37,37,7000
BKC,20260813,13.7,13.7,13.4,13.6,19300
BTS,20260813,4.9,5,4.9,5,200
BTW,20260813,57,69.3,57,69.3,1900
BVS,20260813,27,27.5,26.7,27.1,751900
C69,20260813,17,17.5,16.9,17.1,435300
CAP,20260813,44,44.1,43.2,43.5,13300
CDN,20260813,25.4,25.4,25.4,25.4,3800
CEO,20260813,12.5,12.5,11.9,11.9,6045300
CIA,20260813,9.2,9.3,9.2,9.3,5400
CLH,20260813,20.8,20.8,20.8,20.8,100
CLM,20260813,57,57,57,57,100
CMS,20260813,6.3,6.3,6.1,6.1,17900
CSC,20260813,10.4,10.5,10.2,10.2,4300
CST,20260813,10.2,10.2,10,10,12900
CTP,20260813,7.1,7.2,7,7.1,50500
DC2,20260813,6,6.3,6,6.2,2100
DHP,20260813,11.1,11.3,10.3,10.3,3200
DHT,20260813,56,56.3,54.4,55.8,11500
DIH,20260813,7.4,7.4,7.4,7.4,2100
DL1,20260813,4.5,4.6,4.4,4.5,59900
DP3,20260813,60.3,60.5,60.3,60.5,4300
DS3,20260813,4.8,4.8,4.8,4.8,100
DST,20260813,9.1,9.2,8.6,8.7,89200
DTD,20260813,12.1,12.1,11.9,11.9,111900
DTK,20260813,10.6,11.6,10.6,11.2,3000
DVM,20260813,5.2,5.3,5.1,5.2,83200
DXP,20260813,14.3,14.5,14.1,14.4,241600
EID,20260813,19.4,19.4,19.4,19.4,1000
EVS,20260813,5.8,5.8,5.4,5.5,516600
GDW,20260813,25,25,25,25,1900
GIC,20260813,11.5,11.6,11.4,11.4,1400
GLT,20260813,29.6,29.6,29.6,29.6,500
GMX,20260813,17,17.6,16,16,6000
HAT,20260813,31.7,31.7,30.3,31.3,2000
HCC,20260813,28,28.1,27.9,27.9,18000
HDA,20260813,6.6,6.6,6.5,6.6,89600
HGM,20260813,134,134.5,127,127.6,5700
HHC,20260813,80,92.5,80,92.5,13100
HJS,20260813,29,29,26.5,26.5,900
HKT,20260813,13.6,13.9,13,13.9,27100
HLD,20260813,13.4,13.8,12.8,13.8,121200
HMR,20260813,9.7,9.7,9.7,9.7,1600
HOM,20260813,3.9,4,3.8,4,600
HTC,20260813,31.7,31.7,31.7,31.7,100
HUT,20260813,13.8,13.8,13.5,13.5,1015800
HVT,20260813,23.3,23.5,23.2,23.4,9300
ICG,20260813,15.2,15.2,15.2,15.2,24000
IDC,20260813,34.5,34.9,33.7,34.2,1106100
IDJ,20260813,3.8,3.9,3.7,3.8,880600
